Time	Avg. Solid Temp. [K]	
0.81975758	312.81903
0.81978788	312.8172
0.81981818	312.81537
0.81984848	312.81355
0.81987879	312.81172
0.81990909	312.80989
0.81993939	312.80806
0.8199697	312.80624
0.82	312.80441
0.8200303	312.80258
0.82006061	312.80076
0.82009091	312.79893
0.82012121	312.7971
0.82015152	312.79528
0.82018182	312.79345
0.82021212	312.79163
0.82024242	312.7898
0.82027273	312.78797
0.82030303	312.78615
0.82033333	312.78432
0.82036364	312.7825
0.82039394	312.78067
0.82042424	312.77885
0.82045455	312.77702
0.82048485	312.7752
0.82051515	312.77338
0.82054545	312.77155
0.82057576	312.76973
0.82060606	312.76791
0.82063636	312.76608
0.82066667	312.76426
0.82069697	312.76244
0.82072727	312.76061
0.82075758	312.75879
0.82078788	312.75697
0.82081818	312.75515
0.82084848	312.75333
0.82087879	312.75151
0.82090909	312.74969
0.82093939	312.74787
0.8209697	312.74605
0.821	312.74423
0.8210303	312.74241
0.82106061	312.74059
0.82109091	312.73877
0.82112121	312.73696
0.82115152	312.73514
0.82118182	312.73332
0.82121212	312.73151
0.82124242	312.72969
0.82127273	312.72787
0.82130303	312.72606
0.82133333	312.72424
0.82136364	312.72243
0.82139394	312.72062
0.82142424	312.7188
0.82145455	312.71699
0.82148485	312.71518
0.82151515	312.71336
0.82154545	312.71155
0.82157576	312.70974
0.82160606	312.70793
0.82163636	312.70612
0.82166667	312.70431
0.82169697	312.7025
0.82172727	312.70069
0.82175758	312.69888
0.82178788	312.69707
0.82181818	312.69526
0.82184848	312.69345
0.82187879	312.69164
0.82190909	312.68983
0.82193939	312.68802
0.8219697	312.68621
0.822	312.68441
0.8220303	312.6826
0.82206061	312.68079
0.82209091	312.67898
0.82212121	312.67718
0.82215152	312.67537
0.82218182	312.67356
0.82221212	312.67176
0.82224242	312.66995
0.82227273	312.66814
0.82230303	312.66634
0.82233333	312.66453
0.82236364	312.66272
0.82239394	312.66092
0.82242424	312.65911
0.82245455	312.65731
0.82248485	312.6555
0.82251515	312.65369
0.82254545	312.65189
0.82257576	312.65008
0.82260606	312.64828
0.82263636	312.64647
0.82266667	312.64467
0.82269697	312.64286
0.82272727	312.64106
0.82275758	312.63925
0.82278788	312.63745
0.82281818	312.63564
0.82284848	312.63384
0.82287879	312.63204
0.82290909	312.63023
0.82293939	312.62843
0.8229697	312.62663
0.823	312.62482
0.8230303	312.62302
0.82306061	312.62122
0.82309091	312.61942
0.82312121	312.61761
0.82315152	312.61581
0.82318182	312.61401
0.82321212	312.61221
0.82324242	312.61041
0.82327273	312.60861
0.82330303	312.60681
0.82333333	312.60501
0.82336364	312.60321
0.82339394	312.60141
0.82342424	312.59961
0.82345455	312.59781
0.82348485	312.59601
0.82351515	312.59421
0.82354545	312.59242
0.82357576	312.59062
0.82360606	312.58882
0.82363636	312.58703
0.82366667	312.58523
0.82369697	312.58344
0.82372727	312.58164
0.82375758	312.57985
0.82378788	312.57805
0.82381818	312.57626
0.82384848	312.57447
0.82387879	312.57267
0.82390909	312.57088
0.82393939	312.56909
0.8239697	312.5673
0.824	312.56551
0.8240303	312.56371
0.82406061	312.56192
0.82409091	312.56013
0.82412121	312.55834
0.82415152	312.55655
0.82418182	312.55476
0.82421212	312.55297
0.82424242	312.55119
0.82427273	312.5494
0.82430303	312.54761
0.82433333	312.54582
0.82436364	312.54403
0.82439394	312.54224
0.82442424	312.54046
0.82445455	312.53867
0.82448485	312.53688
0.82451515	312.5351
0.82454545	312.53331
0.82457576	312.53152
0.82460606	312.52974
0.82463636	312.52795
0.82466667	312.52616
0.82469697	312.52438
0.82472727	312.52259
0.82475758	312.52081
0.82478788	312.51902
0.82481818	312.51723
0.82484848	312.51545
0.82487879	312.51366
0.82490909	312.51188
0.82493939	312.51009
0.8249697	312.50831
0.825	312.50652
0.8250303	312.50474
0.82506061	312.50296
0.82509091	312.50117
0.82512121	312.49939
0.82515152	312.4976
0.82518182	312.49582
0.82521212	312.49403
0.82524242	312.49225
0.82527273	312.49047
0.82530303	312.48868
0.82533333	312.4869
0.82536364	312.48512
0.82539394	312.48333
0.82542424	312.48155
0.82545455	312.47977
0.82548485	312.47799
0.82551515	312.4762
0.82554545	312.47442
0.82557576	312.47264
0.82560606	312.47086
0.82563636	312.46908
0.82566667	312.4673
0.82569697	312.46552
0.82572727	312.46374
0.82575758	312.46196
0.82578788	312.46018
0.82581818	312.4584
0.82584848	312.45662
0.82587879	312.45484
0.82590909	312.45306
0.82593939	312.45129
0.8259697	312.44951
0.826	312.44773
0.8260303	312.44596
0.82606061	312.44418
0.82609091	312.4424
0.82612121	312.44063
0.82615152	312.43885
0.82618182	312.43708
0.82621212	312.4353
0.82624242	312.43353
0.82627273	312.43176
0.82630303	312.42998
0.82633333	312.42821
0.82636364	312.42644
0.82639394	312.42467
0.82642424	312.4229
0.82645455	312.42113
0.82648485	312.41935
0.82651515	312.41758
0.82654545	312.41581
0.82657576	312.41404
0.82660606	312.41227
0.82663636	312.41051
0.82666667	312.40874
0.82669697	312.40697
0.82672727	312.4052
0.82675758	312.40343
0.82678788	312.40166
0.82681818	312.3999
0.82684848	312.39813
0.82687879	312.39636
0.82690909	312.3946
0.82693939	312.39283
0.8269697	312.39106
0.827	312.3893
0.8270303	312.38753
0.82706061	312.38576
0.82709091	312.384
0.82712121	312.38223
0.82715152	312.38047
0.82718182	312.3787
0.82721212	312.37694
0.82724242	312.37517
0.82727273	312.37341
0.82730303	312.37164
0.82733333	312.36988
0.82736364	312.36811
0.82739394	312.36635
0.82742424	312.36458
0.82745455	312.36282
0.82748485	312.36105
0.82751515	312.35929
0.82754545	312.35753
0.82757576	312.35576
0.82760606	312.354
0.82763636	312.35224
0.82766667	312.35047
0.82769697	312.34871
0.82772727	312.34695
0.82775758	312.34518
0.82778788	312.34342
0.82781818	312.34166
0.82784848	312.33989
0.82787879	312.33813
0.82790909	312.33637
0.82793939	312.33461
0.8279697	312.33285
0.828	312.33108
0.8280303	312.32932
0.82806061	312.32756
0.82809091	312.3258
0.82812121	312.32404
0.82815152	312.32228
0.82818182	312.32052
0.82821212	312.31876
0.82824242	312.317
0.82827273	312.31524
0.82830303	312.31348
0.82833333	312.31173
0.82836364	312.30997
0.82839394	312.30821
0.82842424	312.30645
0.82845455	312.3047
0.82848485	312.30294
0.82851515	312.30118
0.82854545	312.29943
0.82857576	312.29767
0.82860606	312.29592
0.82863636	312.29416
0.82866667	312.29241
0.82869697	312.29066
0.82872727	312.2889
0.82875758	312.28715
0.82878788	312.2854
0.82881818	312.28365
0.82884848	312.2819
0.82887879	312.28014
0.82890909	312.27839
0.82893939	312.27664
0.8289697	312.27489
0.829	312.27314
0.8290303	312.27139
0.82906061	312.26964
0.82909091	312.26789
0.82912121	312.26615
0.82915152	312.2644
0.82918182	312.26265
0.82921212	312.2609
0.82924242	312.25915
0.82927273	312.25741
0.82930303	312.25566
0.82933333	312.25391
0.82936364	312.25217
0.82939394	312.25042
0.82942424	312.24867
0.82945455	312.24693
0.82948485	312.24518
0.82951515	312.24344
0.82954545	312.24169
0.82957576	312.23995
0.82960606	312.2382
0.82963636	312.23645
0.82966667	312.23471
0.82969697	312.23296
0.82972727	312.23122
0.82975758	312.22948
0.82978788	312.22773
0.82981818	312.22599
0.82984848	312.22424
0.82987879	312.2225
0.82990909	312.22075
0.82993939	312.21901
0.8299697	312.21727
0.83	312.21552
0.8300303	312.21378
0.83006061	312.21203
0.83009091	312.21029
0.83012121	312.20855
0.83015152	312.2068
0.83018182	312.20506
0.83021212	312.20332
0.83024242	312.20158
0.83027273	312.19983
0.83030303	312.19809
0.83033333	312.19635
0.83036364	312.19461
0.83039394	312.19286
0.83042424	312.19112
0.83045455	312.18938
0.83048485	312.18764
0.83051515	312.1859
0.83054545	312.18416
0.83057576	312.18242
0.83060606	312.18068
0.83063636	312.17894
0.83066667	312.1772
0.83069697	312.17546
0.83072727	312.17372
0.83075758	312.17198
0.83078788	312.17024
0.83081818	312.16851
0.83084848	312.16677
0.83087879	312.16503
0.83090909	312.16329
0.83093939	312.16156
0.8309697	312.15982
0.831	312.15809
0.8310303	312.15635
0.83106061	312.15462
0.83109091	312.15288
0.83112121	312.15115
0.83115152	312.14941
0.83118182	312.14768
0.83121212	312.14595
0.83124242	312.14422
0.83127273	312.14248
0.83130303	312.14075
0.83133333	312.13902
0.83136364	312.13729
0.83139394	312.13556
0.83142424	312.13383
0.83145455	312.1321
0.83148485	312.13037
0.83151515	312.12864
0.83154545	312.12691
0.83157576	312.12518
0.83160606	312.12345
